!Sample_title	A7_tophat	B7_tophat	C7_tophat	D7_tophat	E7_tophat	G7_tophat	H7_tophat	A8_tophat	B8_tophat	C8_tophat	D8_tophat	E8_tophat	F8_tophat	G8_tophat	H8_tophat	A9_tophat	B9_tophat	C9_tophat	D9_tophat	E9_tophat	F9_tophat	G9_tophat	H9_tophat
ENSG00000111729	133.019097515804	0	0	0.629511427877568	90.7324030600998	0	0	52.407905279122	0	0.713180391655707	308.555290162048	0	158.446672335143	0	0	0	0	0	129.108436025482	0	0	132.678569231485	38.4888119683846
ENSG00000111731	3.85159725940556	0.923894699159869	2.97394953641806	0.954465618122403	25.9910001223786	0.52405866697461	0.365474602340896	52.2039624195732	0.157568213805575	4.32529821197673	0.150331530423525	8.44939322484138	0	1.09226929913005	34.9304436374187	75.6490998582698	8.39971564442629	26.6404430794906	35.4627338639499	78.0079277175671	12.6058061603844	0.122067554074275	2.53725046187695
ENSG00000111737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2614033834313	0	0	0	0	0	0
ENSG00000111752	0	0	2.55049801151698	0	0	0	0	0	1.39901945105009	0	0	0	0	0	0	0	0	0.381509094283123	0	0	0	0.677384727412169	0
ENSG00000111775	85.4029947917767	68.5326733678705	138.003509134195	346.201776984481	104.3033039949	93.2967139619652	251.803027306123	29.0414446041646	82.4109895384193	74.772506687653	165.568369267143	157.004891039412	90.7385978715502	84.4555178308092	164.743597361143	250.338595899502	142.372263605094	100.265358841283	135.540468617331	83.8834187635962	202.863437709615	62.0018708309451	163.485935348047
ENSG00000111785	0.151804454349071	0	2.93033484702456	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75339798666953	0	0	0	0	0	3.30005308630397
ENSG00000111786	18.3312798760039	0.208487055008732	11.4697876733991	0	14.2185614014469	37.2754363475445	2.30925478906982	0.834010716837549	21.3342058716322	10.0045265358305	5.97061910013816	1.80974821475681	14.8058318205327	26.3736430499379	10.1287322927803	6.19759565445275	10.3900862985966	17.3757827877025	8.96286499628773	1.82496948359028	19.6280129033942	21.155246102257	0.572558622857449
ENSG00000111788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111790	3.36901143327201	27.7142879246309	59.9835764325047	3.37633620461885	8.46970008250987	6.64405632840589	15.5140020760056	30.0696411188725	9.98831003152995	61.8134263961192	8.33837713825115	46.6875810948694	50.4176883671959	19.0099172608621	14.1361536976445	19.9855667318171	78.178830551557	16.9263911760197	29.7056669666662	16.7832397057293	10.3453218527178	30.9516379081087	33.3880978077342
ENSG00000111799	7.20551196582619	9.38116577941704	0	0	0	1.07844144013375	4.55216611298042	0	0.170659972295791	0.805177862256275	57.3947619552508	0	2.18653226597274	0	0	0	0	0	7.8738861835141	0	0.0853323490085312	1.58651633296311	0
ENSG00000111802	0	0	13.9334474526951	0	0	0	0	0	57.3622941208865	42.9817299961354	0	0	0	23.9540823907203	0	0	0	0	0	0	0	46.5799805483179	0
ENSG00000111816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53684546873712
ENSG00000111817	0	0.259914602408329	0	0.161108978245438	1.94984427529698	0	2.96113286294606	0	0	2.79867259980715	0	0.0644616914914519	7.38319583591826	0.24582605863146	0.407328674190213	0	0	0	4.15024512043645	3.33686482028868	0.851118578563249	8.40658987028286	0
ENSG00000111832	1.40179557481081	5.01977835339353	2.6286229294531	6.41411313897864	6.60661400978384	0.479554920302101	13.37752086497	1.84953061997618	4.86632188898642	2.31913373255448	0.343912951136437	19.1658386958826	7.21624566646371	1.71791187428118	2.89829965147955	0.140244893565935	8.71837129799862	6.48772065307828	2.43383941296095	1.34903819670373	5.76765231599515	16.7552126854904	13.2414234498574
ENSG00000111834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111837	0	0	0	0	0	0	0	50.9831974786903	0	0	0	3.43571968564473	0	0	0	0	0	0	21.2694585470691	10.2398666339074	0	0	0
ENSG00000111843	199.757309559557	28.9539751428327	82.3071387062595	123.310852460602	49.7014603537633	151.766517185925	67.3192597577563	156.008617845137	105.613524588688	204.709226484818	29.2289560462066	8.06020011642094	86.508200093565	58.6811552040954	89.825192286011	71.5159777995811	50.1407704119027	81.7847485727223	112.497670912635	9.48265748324277	116.097470786123	14.3650687007756	120.083877225127
ENSG00000111845	1.3147952462789	0.433653074418163	63.9574883711581	0	13.8014836003378	166.872856972723	83.7137850391938	220.312270959807	0	0.507546712061645	0	0.537753755242024	9.94951898339795	36.9132409641	136.600657966632	95.3013137493277	223.122891065213	23.2339038418422	87.2214805067315	0	91.1194941045687	64.1709131768461	63.1188625838052
ENSG00000111846	0.130724229082082	0.0862323833354722	0	42.315727582612	0.686109988969512	0	6.82236753541238	1.20734383931057	0	0	1.57150589901198	0	1.13055578373312	0	1.08112193930892	0	7.31727327818421	13.2185820576102	0.794385610427876	77.1180653012689	0	0.0911461111343374	5.44677067294528
ENSG00000111850	0	19.7173611845406	2.29751113460392	0.184342013741265	0	5.42511234462117	0	0	12.9032320326734	1.56632314843575	0	0	0	0.527392287177106	0	5.49377190681271	0	0	5.06836602634484	0	0.243463949702933	0	0.612544143324463
ENSG00000111860	0	0	0	0	0	0	0.130534920588782	0	0	0.289658871817045	0	0	0	3.7061486911747	0	0	0	0.859423625517307	0.379981956541594	0	0	0	0
ENSG00000111875	0	3.41133526955885	0	3.52421355988193	0	0	8.34209937083352	0	0	5.44448201258022	0.40369122532086	35.3802232292726	0	0	0	0	56.8079298807525	0	16.6651601838008	8.59628057109511	26.6575613915197	0	25.5501726338294
ENSG00000111877	0	0	0	0	10.3662597464582	0	0	0	0	0.365550608879225	0	0	8.32614767679634	5.46490843338549	0	0	0	0.185930728567879	0	0	4.60241554022694	0	0.0857738269837664
ENSG00000111879	0	0	7.50550865605757	0	0	0	0	3.60708832172482	0	0	0	0	0	0	1.72714468201881	0	0	0	0	0	0	0	0
ENSG00000111880	0	0	0	0	0	0	5.5273944689673	0	1.51648187546444	0	0	9.45116445339927	0	5.06843727639697	16.6721714361227	0.168573449162146	0	6.14403478323735	0	0	1.73317013502926	0	52.7629775348602
ENSG00000111885	93.4569257626246	0	0	1.44747452173923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
