!Sample_title	B1_tophat	C1_tophat	D1_tophat	F1_tophat	A2_tophat	C2_tophat	D2_tophat	E2_tophat	F2_tophat	G2_tophat	H2_tophat	C3_tophat	E3_tophat	F3_tophat	G3_tophat	H3_tophat	B4_tophat	D4_tophat	F4_tophat	C5_tophat	D5_tophat	E5_tophat	F5_tophat	G5_tophat	A6_tophat	B6_tophat	D6_tophat	G6_tophat
ENSG00000189050	34.3658363642953	0	0	0.893691628212926	0	6.43887190785401	0	0	0	0	0	6.45691278251759	0	0	0	14.2550392828225	11.9769817932103	0	3.077652373528	0	0	0	0	42.5654210089506	0.413397975895282	0	10.8327994786375	0
ENSG00000189057	26.6504597977178	0	0	0	0	0	139.383242404382	0	0.72999420832815	0	54.4567163733651	0	0	0	0	0	100.465887297651	67.9754734201741	83.4058930527433	0	0	0	0	0	0	0.304276014288477	0	0
ENSG00000189060	0	0	0	0	10.5283038498813	0	19.2395709084087	3.21582323957435	0	0	0	0.407090194164143	0	0	0	0	2.70163374863341	0	0	0	0	0	0	0	6.59408571704297	0	6.46819910648519	0
ENSG00000189067	0	4.43143707822945	48.8625479989186	0	15.6765314805968	0.508852025454447	0.270077579406576	0	42.0765920595374	32.6218558525224	17.8456007876036	23.3840330978208	11.1281875305393	41.0250987270509	0	22.2738357187126	15.7332410106751	24.4623411553603	0.206737952917424	0.992240244700733	1.96394902117822	8.01553903083904	3.79741684415329	0.168193287618487	27.2141684914368	5.80740238733392	0	0
ENSG00000189068	9.80109731517365	0	0	0	0	0	0	0	0	0	0	0	0	0.686937442284632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189077	0	0	0.409960127068962	0	1.76538695358192	0	0	0	0	0	39.2544886496595	0	0	0	49.9692722419713	0	20.8384689400278	0	0	0	0.995251081338185	0	0	0	1.40725059596201	0	0	0
ENSG00000189079	120.402281893955	41.8874259653614	30.3118642547015	10.3534694673778	5.08747922489521	84.0782827182818	16.565441173761	4.11796149809104	62.6685309981824	9.83052361571024	62.0234794476751	56.8109522319768	46.2704736990696	32.0957882553719	30.128460700536	26.8390323127246	66.5422554166344	10.7901836777593	43.2170458417453	35.4395127095487	47.7744729405073	0	63.379002989744	10.5268166325086	25.4911139123422	15.2173385158599	48.0442977512604	0
ENSG00000189089	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96697808860368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189091	3.82605038923922	3.68053539440056	3.09835313363118	1.38605318069161	0.5677554950162	0	16.2859890221432	0	0.227068816069864	0.295365686293875	13.9827218816817	1.99772161954582	0	4.3017251700198	0.695958632942655	29.1765251204779	20.4694292318208	11.1060205068243	18.4471048511083	13.4220487307968	27.92669405314	43.9075782360497	0.309444065245441	27.6170696711384	3.05489753135017	20.3490556636785	0.174403951383264	0
ENSG00000189099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
